gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,341,-245.5437,-26.1909,-114.0242,-26.1909,61801547-e58f-4e28-a026-25092e59be00,-26.1909,3.5835,87
1,186,-177.379,-26.1909,-100.7039,-26.3028,61801547-e58f-4e28-a026-25092e59be00,-26.1909,3.5835,87
2,243,-189.2017,-19.8599,-89.6774,-19.8599,0160a069-bc80-428d-b4c7-82ab607f742b,-19.8599,4.2686,87
3,358,-156.7178,-9.1263,-77.3422,-9.1263,90e0e5fd-5a2f-4661-9a9d-3b4fca3640f2,-9.1263,0.1799,5
4,567,-133.2084,6.4166,-63.7425,6.4166,767e0ff8-588a-4f04-8b20-e981da33f736,6.4166,3.937,33
5,585,-124.1384,6.4166,-44.5032,-9.0895,767e0ff8-588a-4f04-8b20-e981da33f736,6.4166,3.937,33
6,587,-125.9577,6.4166,-35.3691,3.3594,767e0ff8-588a-4f04-8b20-e981da33f736,6.4166,3.937,33
7,607,-126.018,6.4166,-29.8137,3.9964,767e0ff8-588a-4f04-8b20-e981da33f736,6.4166,3.937,33
8,629,-134.3669,6.4166,-26.7275,0.4688,767e0ff8-588a-4f04-8b20-e981da33f736,6.4166,3.937,33
9,628,-121.5687,8.1658,-23.7215,8.1658,3fc7b53a-1e63-4543-a2a3-bc13a3e619db,8.1658,10.5304,33
10,604,-162.4312,15.1593,-22.5835,15.1593,82987369-dab0-403a-83e6-eed2a9c8f578,15.1593,7.0798,34
11,496,-226.4467,15.1593,-32.0277,6.6285,82987369-dab0-403a-83e6-eed2a9c8f578,15.1593,7.0798,34
12,590,-130.7916,15.1593,-18.0247,10.1886,82987369-dab0-403a-83e6-eed2a9c8f578,15.1593,7.0798,34
13,569,-167.6827,15.1593,-15.0734,13.3374,82987369-dab0-403a-83e6-eed2a9c8f578,15.1593,7.0798,34
14,565,-164.7757,18.495,-12.0225,18.495,0747a608-d35e-4609-b71f-7b8e64b88021,18.495,18.2031,34
15,569,-165.5214,42.2887,-10.0229,42.2887,38ce14d1-67d2-4836-a526-14538323891d,42.2887,11.8535,33
16,446,-191.2952,42.2887,-31.7879,25.4847,38ce14d1-67d2-4836-a526-14538323891d,42.2887,11.8535,33
17,554,-173.4421,42.2887,-8.8245,27.2969,38ce14d1-67d2-4836-a526-14538323891d,42.2887,11.8535,33
18,571,-149.9671,63.5653,-5.1984,63.5653,7d7d98f6-41e8-4edc-8dc3-018ef4317814,63.5653,10.6375,33
19,578,-166.2384,65.648,-1.2797,65.648,30f9ef05-5e13-4bf6-b3de-3229364d4989,65.648,4.5765,33
20,564,-161.3507,65.648,-1.4144,59.8,30f9ef05-5e13-4bf6-b3de-3229364d4989,65.648,4.5765,33
21,463,-185.8704,83.6898,-17.6825,83.6898,0bb54c6e-2ab5-4a59-939e-5f0b92f54dbd,83.6898,5.6721,35
22,550,-154.2703,88.3531,4.6575,88.3531,721bd7fc-164e-4257-927a-6eeb319f0abd,88.3531,6.8137,35
23,540,-160.3205,88.3531,9.7538,84.8791,721bd7fc-164e-4257-927a-6eeb319f0abd,88.3531,6.8137,35
24,520,-205.6883,93.5443,16.2252,93.5443,295fbdbf-1c28-4de8-ae17-eee30e1a90fc,93.5443,11.0159,35
25,547,-182.8713,93.5443,28.0898,86.5806,295fbdbf-1c28-4de8-ae17-eee30e1a90fc,93.5443,11.0159,35
26,371,-158.1405,93.5443,-1.6886,92.1184,295fbdbf-1c28-4de8-ae17-eee30e1a90fc,93.5443,11.0159,35
27,519,-176.2423,93.6041,37.5074,93.6041,2c194739-34a2-4e48-a6e5-c61f183b1d1c,93.6041,6.0641,35
28,532,-160.1866,93.6041,46.9329,90.4982,2c194739-34a2-4e48-a6e5-c61f183b1d1c,93.6041,6.0641,35
29,524,-158.2976,93.6041,46.3714,91.7767,2c194739-34a2-4e48-a6e5-c61f183b1d1c,93.6041,6.0641,35
30,515,-145.1365,93.6041,51.7921,92.8911,2c194739-34a2-4e48-a6e5-c61f183b1d1c,93.6041,6.0641,35
31,327,-152.2815,93.6041,13.1148,93.245,2c194739-34a2-4e48-a6e5-c61f183b1d1c,93.6041,6.0641,35
32,494,-132.1488,97.1021,57.8674,97.1021,1df3d85b-e380-4e3b-a960-fba4252c5345,97.1021,1.8557,33
33,503,-128.7497,100.2857,63.8685,100.2857,1a2ec5a7-27c4-47c4-8c87-ccb11a55818d,100.2857,8.6949,33
34,498,-129.4463,100.2857,62.2028,95.985,1a2ec5a7-27c4-47c4-8c87-ccb11a55818d,100.2857,8.6949,33
35,511,-133.8093,101.1037,61.8492,101.1037,9f2558f4-80f7-412a-976a-d75e013750d3,101.1037,6.8462,33
36,326,-137.3495,101.1037,22.7906,95.7599,9f2558f4-80f7-412a-976a-d75e013750d3,101.1037,6.8462,33
37,498,-140.9856,101.1037,62.8756,98.4126,9f2558f4-80f7-412a-976a-d75e013750d3,101.1037,6.8462,33
38,473,-139.3881,101.1175,56.363,101.1175,4a4f55a3-3e78-4425-a717-926f5c05b489,101.1175,12.2074,32
39,511,-137.4681,101.1175,65.1536,100.934,4a4f55a3-3e78-4425-a717-926f5c05b489,101.1175,12.2074,32
40,473,-131.3192,101.6932,62.9412,101.6932,f08bf65a-ced7-4913-b1d6-a88033ced864,101.6932,9.6054,33
41,308,-149.5779,101.6932,22.4667,99.0533,f08bf65a-ced7-4913-b1d6-a88033ced864,101.6932,9.6054,33
42,508,-143.7263,101.6995,67.8671,101.6995,ce0df4aa-0bda-4e66-b7d4-0eebec50f03d,101.6995,10.697,33
43,465,-139.5365,101.6995,62.8377,100.3772,ce0df4aa-0bda-4e66-b7d4-0eebec50f03d,101.6995,10.697,33
44,465,-138.0041,101.7205,61.0182,101.7205,399d776a-a874-46d4-a199-e589e61bc6a7,101.7205,8.9246,32
45,491,-141.4428,105.2372,66.9255,105.2372,b51b00fd-6f41-4cc0-a1d5-cca1ff921696,105.2372,10.4636,34
46,272,-152.7165,105.2372,18.3589,104.2753,b51b00fd-6f41-4cc0-a1d5-cca1ff921696,105.2372,10.4636,34
47,499,-132.0928,109.5752,69.4568,109.5752,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
48,478,-137.5202,109.5752,65.9704,100.2534,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
49,503,-128.3395,109.5752,71.6035,106.9672,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
50,485,-132.2494,109.5752,68.8389,102.7458,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
51,247,-138.3089,109.5752,13.8678,99.9637,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
52,495,-132.4428,109.5752,68.1215,100.157,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
53,471,-131.72,109.5752,66.516,103.0229,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
54,465,-133.1905,109.5752,67.4357,108.7341,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
55,460,-136.0501,109.5752,65.3416,107.4377,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
56,343,-162.0175,109.5752,25.216,107.9141,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
57,488,-136.347,109.5752,66.3841,100.0284,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
58,497,-136.7157,109.5752,66.9878,109.0489,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
59,462,-134.9354,109.5752,62.176,100.2585,2cbc4db4-cfb4-4f91-bb36-5b1a8a45a95a,109.5752,17.0138,33
60,488,-133.9018,112.6687,66.2887,112.6687,057fd790-3ba1-4363-8e28-6e86fd8cccef,112.6687,7.869,34
61,255,-161.4587,112.6687,19.0438,110.1708,057fd790-3ba1-4363-8e28-6e86fd8cccef,112.6687,7.869,34
62,488,-130.5543,112.6687,71.4902,101.4481,057fd790-3ba1-4363-8e28-6e86fd8cccef,112.6687,7.869,34
63,452,-137.7869,113.1242,63.2819,113.1242,c3df0b67-f2dd-4e77-a5a0-c174f02e4887,113.1242,10.4787,33
64,466,-155.877,113.2761,62.6174,113.2761,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
65,476,-130.0068,113.2761,66.0752,109.9504,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
66,282,-163.1805,113.2761,20.7346,101.073,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
67,460,-136.3186,113.2761,62.911,112.3794,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
68,495,-140.3317,113.2761,71.5801,112.9252,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
69,459,-130.9405,113.2761,65.5937,110.9485,ddeee7b2-fbba-4a90-b04b-01da762bdaa9,113.2761,9.2077,32
70,478,-137.673,113.9571,67.9295,113.9571,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
71,261,-166.6636,113.9571,18.222,107.3955,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
72,485,-127.0521,113.9571,69.6349,106.4651,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
73,422,-129.9718,113.9571,60.9881,111.4688,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
74,477,-138.1119,113.9571,67.1838,108.2383,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
75,489,-134.3183,113.9571,71.3725,111.8952,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
76,218,-141.8495,113.9571,14.4915,109.6826,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
77,429,-135.0666,113.9571,60.4143,112.8534,a55c83bd-83d4-4030-90fa-9e205978e549,113.9571,9.1416,31
78,449,-141.1915,115.326,63.2356,115.326,4394b684-e17b-44c2-8c98-a1baef90eb0e,115.326,9.0726,33
79,459,-134.556,115.326,65.1727,113.0138,4394b684-e17b-44c2-8c98-a1baef90eb0e,115.326,9.0726,33
80,459,-146.699,115.326,65.0671,110.7361,4394b684-e17b-44c2-8c98-a1baef90eb0e,115.326,9.0726,33
81,263,-146.4307,115.326,20.2878,106.1503,4394b684-e17b-44c2-8c98-a1baef90eb0e,115.326,9.0726,33
82,452,-133.2938,116.461,64.5045,116.461,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
83,461,-137.0349,116.461,66.9258,112.3314,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
84,460,-137.8528,116.461,64.2985,115.492,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
85,434,-137.5119,116.461,62.1544,111.068,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
86,257,-155.0383,116.461,21.2128,110.5156,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
87,476,-132.9562,116.461,67.4454,116.159,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
88,445,-133.122,116.461,67.0752,114.276,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
89,441,-134.3321,116.461,62.3449,115.0037,d477a593-70c6-4af4-bc04-7dc90dd84085,116.461,9.1968,33
90,422,-136.4014,117.2865,59.241,117.2865,c0446fa6-a959-434e-808d-ae84b4b76e90,117.2865,12.9572,32
91,266,-136.5921,117.2865,21.9948,112.8922,c0446fa6-a959-434e-808d-ae84b4b76e90,117.2865,12.9572,32
92,408,-135.1176,121.3253,56.4473,121.3253,70d774da-686e-49d7-a696-96b8734f20b7,121.3253,8.371,33
93,458,-130.6651,121.3253,65.2739,114.0072,70d774da-686e-49d7-a696-96b8734f20b7,121.3253,8.371,33
94,470,-133.5591,121.3253,69.1054,111.2907,70d774da-686e-49d7-a696-96b8734f20b7,121.3253,8.371,33
95,456,-134.8761,121.3253,66.1683,113.7265,70d774da-686e-49d7-a696-96b8734f20b7,121.3253,8.371,33
